,No,구분,Question,Numbers,Equation,Answer,group_nums,Grade,Type,Body,Ques_Statement
992,754,train,패키지에는 number0 개 쿠키가 있습니다. 먹은 후 number1 개 남았습니다. 얼마나 많이 먹었습니까?,18 9,- number0 number1,9.0,"[2, 3, 4, 12, 13, 14, 17, 18, 19]",1,Subtraction,a package had number0 cookies in it . after eating some there were number1 left .,how many were eaten ?
993,755,train,테이프의 길이는 number0 m였습니다. 유정이는 상자를 밀봉하기 위해 일부를 사용했습니다. 이제 테이프의 길이는 number1 m입니다. 그녀는 얼마나 많은 테이프를 사용 했습니까?,13 6,- number0 number1,7.0,"[2, 3, 4, 17, 18, 19, 25, 26, 27]",1,Subtraction,a tape was number0 meters long . haley used some to seal cartons . now the tape is number1 meters long .,how much tape did she use ?
994,756,train,석진이는 그의 비디오 게임의 number0 개 친구에게 주었습니다. 이제 석진이는 number1 개 게임을 갖고 있습니다. 그가 게임을 주기 전에 석진이는 얼마나 많은 게임을 했습니까?,13 6,+ number0 number1,19.0,"[1, 2, 3, 4, 5, 8, 14, 15, 16, 27, 28, 29]",1,Addition,ned gave away number0 of his video games to a friend . now ned has number1 games .,how many games did ned have before he gave the games away ?
995,757,train,게임에서 윤기는 number0 개 티켓을 획득했습니다. 장난감을 사는데 number1 개 사용했다면 윤기가 남은 티켓은 몇 장입니까?,13 6,- number0 number1,7.0,"[5, 6, 7, 9, 11, 12, 13, 14, 21, 22, 23]",1,Subtraction,at the arcade dave had won number0 tickets . if he used number1 to buy some toys,how many tickets did dave have left ?
996,758,train,은지는 number0 편 시를 암기했습니다. 얼마 후 그녀는 그 중 number1 편 암송 할 수 있었다. 그녀는 몇 편의 시를 잊었습니까?,8 3,- number0 number1,5.0,"[1, 2, 3, 5, 11, 12, 13, 19, 20, 21]",1,Subtraction,sally memorized number0 poems . after some time she could only recite number1 of them .,how many poems did she forget ?
997,759,train,호석이는 가족 바베큐를 위해 number0 pounds의 버섯을 얻었습니다. 그들이 number1 pounds를 먹었다면 얼마나 많은 pounds가 남았습니까?,15 8,- number0 number1,7.0,"[1, 2, 3, 6, 12, 13, 14, 17, 18, 19]",1,Subtraction,frank got number0 pounds of mushroom for family barbecue . if they ate number1 pounds,how many pounds were left ?
998,760,train,태형이의 장바구니에 number0 개 항목을 넣었습니다. 일부를 삭제 한 후 number1 개 남았습니다. 태형이가 삭제 한 항목은 몇 개입니까?,18 8,- number0 number1,10.0,"[1, 2, 3, 4, 5, 13, 14, 15, 20, 21, 22]",1,Subtraction,adam put number0 items in the shopping cart . after deleting some he had number1 left .,how many items did adam delete ?
999,761,train,윤기는 number0 개 셔츠가 있습니다. 만약 그가 number1 개 버린다면 윤기는 얼마나 많은 셔츠를 갖고 있을까요?,17 7,- number0 number1,10.0,"[1, 2, 3, 9, 10, 11, 13, 16, 17, 18]",1,Subtraction,kaleb has number0 shirts . if he got rid of number1 of them,how many shirts would kaleb have ?
1000,762,train,게임을하는 동안 정국이는 number0 개 목숨을 있습니다. 그는 어려운 수준에서 number1 개 생명을 잃었습니다. 그가 얼마나 많은 생명을 남겼습니까?,15 8,- number0 number1,7.0,"[1, 5, 6, 7, 10, 11, 12, 22, 23, 24]",1,Subtraction,while playing a game edward had number0 lives . he lost number1 lives on a hard level .,how many lives does he have left ?
1001,763,train,한 그룹이 점심 식탁에 앉아 있었다. number0 명을 떠나고 테이블에 number1 명이 남았습니다. 식사가 시작했을 때 얼마나 많은 사람들이 테이블에 있었습니까?,6 5,+ number0 number1,11.0,"[32, 1, 6, 10, 11, 12, 16, 17, 18, 30, 31]",1,Addition,a group was sitting at a lunch table . after finishing number0 people left and there were number1 left at the table .,how many people were at the table to start with ?
1002,764,train,광대는 number0 개 풍선을 가지고 있었다. 그는 파티에서 number1 개 주었다. 그는 아직도 몇 개의 풍선을 가지고 있습니까?,16 4,- number0 number1,12.0,"[1, 2, 3, 4, 6, 7, 8, 9, 18, 19, 20]",1,Subtraction,a clown had number0 balloons . he gave number1 away at a party .,how many balloons does he still have ?
1003,765,train,유나는 number0 개 DVD를 소유하고 있었다. 그녀가 그 중 number1 개 팔았다면 얼마나 남았을까요?,13 6,- number0 number1,7.0,"[1, 2, 3, 7, 8, 9, 14, 15, 16]",1,Subtraction,debby owned number0 dvds . if she sold number1 of them,how many would she have left ?
1004,766,train,호스트는 파티를 위해 number0 개 케이크를 준비했습니다. 파티가 끝난 후 그는 number1 개 남겼습니다. 사람들이 파티에서 케이크를 몇 개 먹었습니까?,19 9,- number0 number1,10.0,"[1, 2, 3, 4, 5, 13, 14, 15, 23, 24, 25]",1,Subtraction,the host prepared number0 cakes for the party . after the party he had number1 left .,how many cakes did people eat in the party ?
1005,767,train,정국이는 number0 상 가졌습니다. 그가 장난감으로 number1 상 채웠다면 그는 아직도 몇 개의 상자를 가지고 있습니까?,13 8,- number0 number1,5.0,"[1, 2, 3, 7, 8, 9, 12, 15, 16, 17]",1,Subtraction,frank had number0 boxes . if he filled number1 with toys,how many boxes does he still have ?
1006,768,train,남준이는 파일을 백업하기 위해 디스크 드라이브에 number0 GB의 공간을 확보했습니다. 그의 파일이 number1 GB를 차지한다면 얼마나 많은 GB가 남았을까요?,28 26,- number0 number1,2.0,"[1, 2, 3, 4, 9, 14, 20, 21, 22, 27, 28, 29]",2,Subtraction,mike got number0 gb of space on his disk drive to backup his files . if his files would take up number1 gb,how many gb would he have left ?
1007,769,train,작은 마을에 number0 마 고양이가 있습니다. 그들 중 number1 마 잠들어 있다면 몇 마리의 고양이가 여전히 깨어 있습니까?,98 92,- number0 number1,6.0,"[1, 2, 3, 8, 9, 10, 11, 12, 19, 20, 21]",2,Subtraction,there are number0 cats in the little town . if number1 of them are a asleep,how many cats are still awake ?
1008,770,train,유정이는 number0 penny를 소유했습니다. 그녀가 사과를 샀을 때 그녀는 number1 penny가 남았습니다. 그녀는 사과에 얼마를 썼습니까?,93 56,- number0 number1,37.0,"[1, 2, 3, 11, 12, 13, 21, 22, 23]",2,Subtraction,olivia owned number0 pennies . after she bought an apple she had number1 pennies left .,how many did she spend for the apple ?
1009,771,train,농부는 그의 정원에서 number0 개의 토마토를 가지고있었습니다. 그 중 number1 개를 골랐다면 얼마나 남았을까요?,97 83,- number0 number1,14.0,"[2, 3, 4, 11, 12, 13, 18, 19, 20]",2,Subtraction,a farmer had number0 tomatoes from his garden . if he picked number1 of them,how many would he have left ?
1010,772,train,선반에 number0 개의 양파가있었습니다. number1 개 판매되었습니다. 지금 선반에 양파가 몇 개 있습니까?,98 65,- number0 number1,33.0,"[1, 2, 3, 4, 8, 9, 18, 19, 20]",2,Subtraction,there were number0 onions on the shelf . number1 were sold .,how many onions is there on the shelf now ?
1011,773,train,호석이는 number0 권 책을 가지고 있었다. 차고 세일에서 일부를 판매 한 후 그는 number1 권 남겼습니다. 그는 몇 권의 책을 팔았습니까?,86 78,- number0 number1,8.0,"[1, 2, 3, 5, 8, 13, 14, 15, 20, 21, 22]",2,Subtraction,paul had number0 books . after selling some in a garage sale he had number1 left .,how many books did he sell ?
1012,774,train,유정이는 폴더에 number0 조 종이를 가지고있었습니다. 그녀는 number1 조 사용했습니다. 그녀는 지금 몇 조각을 가지고 있습니까?,81 56,- number0 number1,25.0,"[1, 2, 3, 5, 11, 12, 13, 19, 20, 21]",2,Subtraction,olivia had number0 pieces of paper in her folder . she used number1 pieces .,how many pieces does she have now ?
1013,775,train,민영이는 약간의 사탕을 가지고 있었다. 그녀는 친구에게 number0 조 주고 number1 조 남았습니다. 처음에 그녀는 몇조각을 갖고 있었습니까?,27 61,+ number0 number1,88.0,"[7, 8, 9, 10, 12, 13, 14, 22, 23, 24]",2,Addition,isabel had some candy . she gave her friend number0 pieces and had number1 left .,how many pieces did she have to start with ?
1014,776,train,은지가 박람회에 갔을 때 그녀는 number0 dollars를 가졌습니다. 그녀가 떠났을 때 그녀는 number1 dollars를 가졌습니다. 그녀는 박람회에서 얼마나 많은 돈을 썼습니까?,15 11,- number0 number1,4.0,"[7, 8, 9, 15, 16, 17, 25, 26, 27]",2,Subtraction,when amy got to the fair she had $ number0 . when she left she had $ number1 .,how much money did she spend at the fair ?
1015,777,train,게임을 하는 동안 석진이는 number0 개 생명을 가졌다. 목숨을 잃은 후 그는 number1 개 목숨이 남았습니다. 석진이는 얼마나 많은 목숨을 잃었습니까?,98 73,- number0 number1,25.0,"[1, 5, 6, 7, 14, 15, 16, 21, 22, 23]",2,Subtraction,while playing a game kaleb had number0 lives . after losing some lives he had number1 left .,how many lives did kaleb lose ?
1016,778,train,유나는 사탕 number0 조 가지고있었습니다. 그녀는 number1 조 먹었습니다. 유나는 지금 사탕 몇 개를 가지고 있습니까?,67 64,- number0 number1,3.0,"[1, 2, 3, 7, 8, 9, 10, 18, 19, 20]",2,Subtraction,maria had number0 pieces of candy . she ate number1 pieces .,how many pieces of candy does maria have now ?
1017,779,train,상점에는 number0 장 셔츠가 있습니다. 판매 후 number1 장 남았습니다. 얼마나 많이 팔았습니까?,49 28,- number0 number1,21.0,"[2, 3, 4, 10, 11, 12, 16, 17, 18]",2,Subtraction,a store has number0 shirts . after selling some there were number1 left .,how many did they sell ?
1018,780,train,은지는 number0 개 체리를 가졌습니다. 그는 그들 중 number1 개 먹었습니다. 은지는 몇 개의 체리를 남겼습니까?,74 72,- number0 number1,2.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17]",2,Subtraction,billy had number0 cherries . he ate number1 of them .,how many cherries does billy have left ?
1019,781,train,호석이는 몇 분기를 가졌습니다. 그는 게임에서 number0 분 보냈고 number1 분 남았습니다. 그는 처음 몇 분기를 갖고 시작했습니까?,9 79,+ number0 number1,88.0,"[6, 7, 8, 14, 15, 16, 25, 26, 27]",2,Addition,adam had some quarters . he spent number0 of them at the arcade and had number1 left over .,how many quarters did he have to start with ?
1020,782,train,number0 명 버스 정류장에서 하차했습니다. 지금은 버스에 number1 명이 있었다. 전에 얼마나 많은 사람들이 버스에 있었습니까?,47 43,+ number0 number1,90.0,"[1, 2, 3, 4, 5, 6, 13, 14, 15, 25, 26, 27]",2,Addition,at a bus stop number0 people got off the bus . now there were number1 people on the bus .,how many people were on the bus before ?
1021,783,train,남준이 학교까지 걸어서 number0 분 걸립니다. 자전거를 타고 학교에 가면 number1 분을 절약 할 수 있습니다. 남준이가 얼마나 많은 시간을 절약 했습니까?,98 64,- number0 number1,34.0,"[1, 2, 3, 4, 9, 20, 21, 22, 27, 28, 29]",2,Subtraction,it takes mike number0 minutes to walk to school . if he rides a bicycle to school it would save him number1 minutes .,how much time did mike save ?
1022,784,train,농부는 그의 정원에서 number0 개 토마토를 가지고있었습니다. 몇 개를 골라서 그는 number1 개 남았습니다. 얼마나 많이 골랐어?,46 3,- number0 number1,43.0,"[2, 3, 4, 13, 14, 15, 19, 20, 21]",2,Subtraction,a farmer had number0 tomatoes from his garden . after picking some he had number1 left .,how many did he pick ?
1023,785,train,민영이는 티슈 페이퍼 number0 장을 가지고있었습니다. 코를 풀고 난 뒤 number1 장 남았다. 그녀는 티슈 페이퍼를 몇 장 사용 했습니까?,97 93,- number0 number1,4.0,"[1, 2, 3, 5, 8, 13, 14, 15, 23, 24, 25]",2,Subtraction,carol had number0 pieces of tissue paper . after blowing her nose she had number1 left .,how many pieces of tissue paper did she use ?
1024,786,train,요리사는 number0 개 사과를 가지고 있었다. 파이를 몇 개 만든 후 그는 number1 개 남았습니다. 그는 몇 개의 사과를 사용 했습니까?,46 14,- number0 number1,32.0,"[1, 2, 3, 4, 5, 11, 12, 13, 18, 19, 20]",2,Subtraction,a chef had number0 apples . after making some pies he had number1 left .,how many apples did he use ?
1025,787,train,할로윈을 위해 올리버는 사탕 number0 pounds를 얻었습니다. 은지에게 약간을 준 후 그는 number1 pounds가 남았습니다. 그는 은지에게 몇 pounds를 주었습니까?,78 68,- number0 number1,10.0,"[1, 3, 4, 5, 6, 15, 16, 17, 25, 26, 27]",2,Subtraction,for halloween oliver got number0 pounds of candy . after giving some to janet he had number1 pounds left .,how many pounds did he give to janet ?
1026,788,train,기차에는 number0 명이 탔습니다. 다음 정류장에서 number1 명이 내렸다. 지금 기차에 얼마나 많은 사람들이 있습니까?,58 45,- number0 number1,13.0,"[1, 2, 3, 4, 11, 12, 13, 14, 23, 24, 25]",2,Subtraction,there were number0 people on the train . at the next stop number1 people got off .,how many people are there on the train now ?
1027,789,train,호석이는 옥상에 도달하기 위해 number0 칸 계단을 올라야했습니다. 그는 이미 number1 칸 올랐다. 호석이가 올라갈 계단이 몇 개 남았나요?,96 74,- number0 number1,22.0,"[1, 3, 4, 5, 6, 14, 15, 25, 26, 27]",2,Subtraction,adam needed to climb number0 stair steps to reach the rooftop . he already climbed number1 .,how many stair steps do left for adam to climb now ?
1028,790,train,기차에는 number0 명 탔습니다. 첫 번째 정류장 이후에 number1 명 남았습니다. 얼마나 많은 사람들이 내렸습니까?,48 31,- number0 number1,17.0,"[1, 2, 3, 5, 13, 14, 15, 20, 21, 22]",2,Subtraction,there were number0 people on the train . after the first stop there were number1 people left .,how many people got off ?
1029,791,train,남준이는 number0 권의 책을 가지고 있었지만 그는 차고 세일에서 number1 권을 팔았습니다. 남준이는 아직 몇 권의 책을 가지고 있습니까?,51 45,- number0 number1,6.0,"[1, 2, 3, 6, 7, 8, 17, 18, 19]",2,Subtraction,mike had number0 books but he sold number1 at a garage sale .,how many books does mike still have ?
1030,792,train,은지의 몸무게는 number0 kg입니다. 그녀는 매일 조깅을 시작했고 number1 kg의 무게가 나갑니다. 그녀는 얼마나 많은 체중을 뺐습니까?,74 67,- number0 number1,7.0,"[1, 2, 3, 14, 15, 16, 24, 25, 26]",2,Subtraction,jessie weighted number0 kilograms . after she started to go jogging everyday now she weights number1 kilograms .,how much weight did she lose in the past ?
1031,793,train,게임에서 태형이는 number0 개 티켓을 획득했습니다. 요요 1개를 구입 한 후 그는 number1 개 티켓이 남았습니다. 요요 1개에 얼마나 많은 티켓이 들었습니까?,48 32,- number0 number1,16.0,"[1, 5, 6, 7, 14, 15, 16, 23, 24, 25]",2,Subtraction,at the arcade billy had won number0 tickets . after buying a yoyo he had number1 tickets left .,how many tickets did the yoyo cost ?
1032,794,train,파티를 위해 호석이는 number0 개 컵 케이크를 샀습니다. number1 개 먹었다면 호석이의 남은 컵 케이크는 몇 개일까요?,97 58,- number0 number1,39.0,"[4, 5, 6, 8, 9, 10, 16, 17, 18]",2,Subtraction,for a party adam bought number0 cupcakes . if number1 were eaten,how many cupcakes would adam have left ?
1033,795,train,생일 파티를 위해 광대가 number0 개의 풍선을주었습니다. 이제 그는 number1 개의 풍선이 남았습니다. 광대는 몇 개의 풍선으로 시작했습니까?,6 55,+ number0 number1,61.0,"[1, 2, 6, 7, 8, 9, 13, 14, 15, 25, 26, 27]",2,Addition,for a birthday party a clown gave away number0 balloons . now he has number1 balloons left .,how many balloons did the clown have to start with ?
1034,796,train,요리사는 number0 개 체리를 사용하여 파이를 만들었습니다. 이제 그는 number1 개 체리가 남았습니다. 파이를 만들기 전에 몇 개의 체리를 갖고 있었습니까?,39 58,+ number0 number1,97.0,"[1, 2, 3, 4, 5, 12, 13, 14, 25, 26, 27]",2,Addition,a chef used number0 cherries to make a pie . now he has number1 cherries left .,how many cherries did he have before he made the pie ?
1035,797,train,유정이의 지갑에 number0 dollars가있었습니다. 그녀가 슈퍼마켓을 방문한 후 number1 dollars가 남았습니다. 그녀는 얼마를 썼습니까?,94 78,- number0 number1,16.0,"[1, 2, 3, 6, 15, 16, 17, 22, 23, 24]",2,Subtraction,there were number0 dollars in olivia 's wallet . after she visited a supermarket there were number1 dollars left .,how much did she spend ?
1036,798,train,비디오 게임을하는 동안 정국이는 number0 개 생명을 잃었습니다. 이제 그는 number1 개 목숨을 갖고 있습니다. 처음에 정국이는 얼마나 많은 생명을 얻었습니까?,13 70,+ number0 number1,83.0,"[1, 2, 5, 6, 7, 8, 12, 13, 14, 22, 23, 24]",2,Addition,while playing a video game ned lost number0 lives . now he has number1 lives .,how many lives did ned have at the start ?
1037,799,train,석진이는 그의 마당에서 막대기를 줍고 있었다. 그는 number0 개 집어 들었지만 여전히 number1 개 남아 있습니다. 원래 마당에 몇 개의 막대기가 있었습니까?,38 61,+ number0 number1,99.0,"[6, 11, 12, 13, 16, 17, 18, 25, 26, 27]",2,Addition,will was picking up sticks from his yard . he picked up number0 but there were still number1 left .,how many sticks were originally in the yard ?
1038,800,train,유나는 벼룩시장에서 팔기위해 책을 number0 권 준비 했습니다. 활동이 끝난 후 유나에게는 number1 권의 책이 남아 있습니다. 유나는 몇 권을 팔았습니까?,98 96,- number0 number1,2.0,"[1, 2, 3, 5, 16, 17, 18, 23, 24, 25]",2,Subtraction,gwen prepared number0 books to sell in the flea market . after the activity ended she had number1 books left .,how many did she sell ?
1039,801,train,"제빵사가 number0 개의 케이크를 만들었습니다. 만약 제빵사가 그 중에 number1 개의 케이크를 팔았다면, 제빵사에게 남은 케이크는 몇 개입니까?",90 83,- number0 number1,7.0,"[2, 3, 4, 7, 8, 9, 10, 13, 17, 18, 19]",2,Subtraction,a baker made number0 cakes . if he sold number1 of them,how many cakes would the baker still have ?
1040,802,train,"요리사가 number0 개의 체리를 가지고 있었습니다. 만약 요리사가 그 중에 number1 개의 체리를 파이 만드는 데에 사용했다면, 요리사에게 남은 체리는 몇 개입니까?",77 60,- number0 number1,17.0,"[2, 3, 4, 8, 9, 10, 11, 16, 20, 21, 22]",2,Subtraction,a chef had number0 cherries . if he used number1 of them to make a pie,how many cherries would he still have ?
1041,803,train,은지는 파일에 number0 장의 종이를 가지고 있었습니다. 일주일 후에 number1 장의 종이가 남아있었습니다. 은지는 일주일동안 몇 장의 종이를 사용했습니까?,81 38,- number0 number1,43.0,"[1, 2, 3, 4, 5, 14, 15, 16, 24, 25, 26]",2,Subtraction,carol had number0 pieces of paper in her folder . after a week she had number1 left .,how many pieces did she use in the week ?
1042,804,train,"유정이는 게임을 number0 개 가지고 있습니다. 만약 유정이가 친구에게 number1 개를 주었다면, 유정이에게 남은 게임은 몇 개입니까?",90 87,- number0 number1,3.0,"[1, 2, 3, 4, 8, 9, 10, 16, 17, 18]",2,Subtraction,isabel had number0 ds games . if she gave number1 to her friend,how many would she have left ?
1043,805,train,민영이는 부엌에 마늘 number0 쪽을 저장해 두었습니다. 민영이는 저녁으로 로스트 치킨을 만드느라 number1 쪽을 사용했습니다. 민영이에게 남은 마늘은 몇 쪽입니까?,93 86,- number0 number1,7.0,"[1, 2, 3, 8, 11, 12, 13, 25, 26, 27]",2,Subtraction,maria stored number0 cloves of garlic in the kitchen . she used number1 for roast chicken for dinner .,how many cloves of garlic does she have left ?
1044,806,train,"가게에 셔츠가 number0 개 있습니다. 만약 그 중에서 number1 개가 팔렸다면, 남은 셔츠는 몇 개입니까?",35 30,- number0 number1,5.0,"[2, 3, 4, 7, 8, 9, 10, 11, 15, 16, 17]",2,Subtraction,a store has number0 shirts . if they sold number1 of them,how many shirts would they have ?
1045,807,train,정국이는 가지고 있는 연필 중에 number0 개를 사용했습니다. 현재 정국이가 가지고 있는 연필은 number1 개입니다. 정국이가 처음에 가지고 있었던 연필은 몇 개입니까?,3 91,+ number0 number1,94.0,"[1, 2, 3, 7, 9, 10, 11, 19, 20, 21]",2,Addition,paige used number0 of her pencils . now she has number1 pencils .,how many pencils did paige have to begin with ?
1046,808,train,"태형이는 number0 개의 딸기를 땄습니다. 태형이가 딸기를 먹고 난 후, 딸기는 number1 개가 남았습니다. 태형이가 먹은 딸기는 몇 개입니까?",35 33,- number0 number1,2.0,"[1, 2, 3, 4, 5, 9, 10, 11, 16, 17, 18]",2,Subtraction,adam picked number0 strawberries . after eating some he had number1 left .,how many strawberries did adam eat ?
1047,809,train,"지민이가 아침에 일어났을 때, 책상 위에는 연필 클립이 number0 개 있었습니다. 잠자리에 들기 전에는 number1 개가 남아있었습니다. 지민이가 오늘 사용한 연필 클립은 몇 개입니까?",85 26,- number0 number1,59.0,"[32, 1, 2, 3, 4, 33, 6, 7, 34, 23, 24, 25]",2,Subtraction,janet had number0 paper clips on the desk when she woke up in the morning . before going to bed she found there were number1 left .,how many paper clips did she use today ?
1048,810,train,"동물원 우리에 number0 마리의 뱀이 있습니다. 만약 그 중 number1 마리의 뱀이 숨어있다면, 숨지 않은 뱀은 몇 마리입니까?",68 42,- number0 number1,26.0,"[5, 6, 7, 9, 10, 11, 16, 17, 18]",2,Subtraction,at the zoo a cage had number0 snakes . if number1 were hiding,how many snakes were not hiding ?
1049,811,train,"광대는 number0 개의 풍선을 가지고 있었습니다. 파티가 끝난 후에, 광대에게는 number1 개의 풍선이 남았습니다. 광대가 파티에서 사용한 풍선은 몇 개입니까?",82 16,- number0 number1,66.0,"[1, 2, 3, 4, 5, 10, 11, 12, 20, 21, 22]",2,Subtraction,a clown had number0 balloons . after a party he had number1 left .,how many balloons did he use at the party ?
1050,812,train,"펫샵에 number0 마리의 저빌이 있었습니다. 만약 그 중 number1 마리가 판매 되었다면, 남은 저빌은 몇 마리입니까?",85 69,- number0 number1,16.0,"[3, 4, 5, 9, 10, 11, 16, 17, 18]",2,Subtraction,a pet store had number0 gerbils . if they sold number1 of them,how many would they have left ?
1051,813,train,"호석이는 게임에서 number0 개의 목숨을 가지고 시작했습니다. 만약 첫 번째 단계에서 number1 개의 추가 목숨을 얻고, 두 번째 단계에서 number2 개의 추가 목숨을 얻는다면, 호석이가 가진 총 목숨은 몇 개입니까?",2 6 11,+ + number0 number1 number2,19.0,"[2, 4, 5, 6, 7, 11, 12, 13, 14, 17, 19, 20, 21, 28, 29, 30]",1,TVQ-Final,in a game you start with number0 lives . if you got number1 extra lives in the first level and number2 more in the second,how many lives would you have ?
1052,814,train,"요리사가 파이를 만들고 있었습니다. 요리사가 사과파이 number0 개, 피칸파이 number1 개, 호박파이 number2 개를 만들었다면, 요리사가 만든 파이는 총 몇 개입니까?",2 4 7,+ + number0 number1 number2,13.0,"[1, 3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 21, 22, 23]",1,Sum,a chef was making pies . he made number0 apple number1 pecan and number2 pumpkin pies .,how many pies did he make total ?
1053,815,train,"펫샵에 하얀 고양이 number0 마리, 검은 고양이 number1 마리, 회색 고양이 number2 마리가 있습니다. 고양이는 모두 몇 마리입니까?",2 10 3,+ + number0 number1 number2,15.0,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 19, 20, 21]",1,Sum,a pet store had number0 white cats number1 black cats and number2 gray cats .,how many cats did they have total ?
1054,816,train,"윤기는 이사하기 위해 상자들의 무게를 재고 있었습니다. 첫 번째 상자의 무게는 number0 pounds, 두 번째 상자의 무게는 number1 pounds, 마지막 상자의 무게는 number2 pounds 였습니다. number3 개의 박스들의 총 무게는 얼마인가요?",2 11 5 3,+ + number0 number1 number2,18.0,"[32, 2, 9, 10, 11, 14, 15, 16, 20, 21, 22, 30, 31]",1,Sum,jerry was weighing boxes for moving . the first was number0 pounds the second was number1 pounds and the last was number2 pounds .,what is the combined weight of all number3 boxes ?
1055,817,train,"트리비아 게임을 하는 동안 A팀의 점수는 number0 점, B팀의 점수는 number1 점, C팀의 점수는 number2 점이었습니다. 총 점수는 몇 점입니까?",2 9 4,+ + number0 number1 number2,15.0,"[1, 7, 8, 9, 12, 13, 14, 18, 19, 20, 25, 26, 27]",1,Sum,while playing a trivia game team a scored number0 points team b scored number1 points and team c scored number2 points .,how many points were scored total ?
1056,818,train,"펫샵에 number0 마리의 강아지가 있습니다. 일요일에 펫샵에 number1 마리가 더 들어오고, 월요일에는 number2 마리가 더 들어왔습니다. 현재 펫샵에 있는 강아지는 모두 몇 마리입니까?",2 5 3,+ + number0 number1 number2,10.0,"[1, 3, 4, 5, 7, 10, 11, 12, 17, 18, 19, 27, 28, 29]",1,TVQ-Final,a pet store had number0 dogs . on sunday they got number1 more . on monday they got number2 more .,how many dogs does the pet store have now ?
1057,819,train,점심에 학생들은 number0 명 초콜릿 우유를 선택했습니다. 딸기우유는 number1 명 흰우유는 number2 명 선택했을때 총 몇 개의 우유를 마셨을까요?,2 15 3,+ + number0 number1 number2,20.0,"[1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 20, 21, 22]",1,Sum,for lunch number0 students selected chocolate milk number1 selected strawberry milk and number2 selected regular milk .,how many milks were taken total ?
1058,820,train,"지민이는 사탕 number0 개 가지고 있었습니다. 친구가 사탕을 number1 개 더 주었고, 지민이가 number2 개 더 샀습니다. 지민이는 사탕을 몇 개 가지고 있을까요?",2 7 10,+ + number0 number1 number2,19.0,"[1, 2, 3, 4, 5, 11, 12, 13, 18, 19, 20, 24, 25, 26]",1,TVQ-Final,tom already had number0 pieces of candy . his friend gave him number1 more and then tom bought another number2 how,many pieces does tom have now ?
1059,821,train,민영이는 파일을 정리하면서 number0 개 사진 number1 개 노래와 number2 개 텍스트 파일을 삭제했다. 민영이가 삭제한 파일의 총 수는 얼마인가?,2 8 7,+ + number0 number1 number2,17.0,"[1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 21, 22, 23]",1,Sum,while organizing her files bianca deleted number0 pictures number1 songs and number2 text files .,what is the total number of files she deleted ?
1060,822,train,"남준이는 number0 개 새 크레파스와 number1 개 사용한 크레파스, number2 개 부러진 크레파스를 가지고 있습니다. 남준이는 총 몇 개의 크레파스를 가지고 있습니까?",2 4 8,+ + number0 number1 number2,14.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 17, 18, 19]",1,Sum,roger had number0 new crayons number1 used crayons and number2 broken crayons .,how many crayons did roger have total ?
1061,823,train,신년 행사에 빨간 풍선 number0 개 초록 풍선 number1 개 흰 풍선 number2 개 사용되었습니다. 사용한 풍선은 총 몇 개일까요?,2 12 6,+ + number0 number1 number2,20.0,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 24, 25, 26]",1,Sum,for a new year 's party number0 red balloons number1 green balloons and number2 white balloons were used .,what is the total number of balloons used ?
1062,824,train,"수의사는 number0 마 고양이 몸무게를 재었습니다. 첫번째는 number1 pounds, 두번째는 number2 pounds, 마지막은 number3 pounds였습니다. 고양이들의 총 무게는 얼마일까요?",3 2 7 4,+ + number1 number2 number3,13.0,"[2, 3, 4, 5, 8, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29]",1,Sum,a vet was weighing number0 cats . the first weighed number1 pounds . the second weighed number2 pounds and the last weighed number3 pounds .,what is their combined weight ?
1063,825,train,윤기는 number0 dollars를 가지고 있었는데 집안일을 하면서 number1 dollars를 벌었다. 윤기의 친구는 number2 dollars를 가지고 있었다. 윤기와 친구의 돈을 합하면 총 얼마일까?,5 2 13,+ + number0 number1 number2,20.0,"[2, 3, 4, 6, 7, 8, 9, 15, 16, 17, 27, 28, 29]",1,Sum,henry already had number0 dollars but earned another number1 dollars doing chores . his friend had number2 dollars . if they put their money together,how much would they have ?
1064,826,train,호석이는 5월에 number0 권 책을 읽었고 6월에는 number1 권 책을 읽었고 7월에는 number2 권 책을 읽었다. 호석이가 읽은 책은 총 몇 권일까?,2 6 10,+ + number0 number1 number2,18.0,"[1, 2, 3, 5, 6, 7, 9, 10, 11, 17, 18, 19]",1,TVQ-Final,tom read number0 books in may number1 in june and number2 in july .,how many books did tom read ?
1065,827,train,테이블 위에 초록색 사과 number0 개 빨간색 사과 number1 개 노란색 사과 number2 개 있다. 테이블 위의 사과는 모두 몇 개일까?,2 3 14,+ + number0 number1 number2,19.0,"[1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 20, 21, 22]",1,Sum,on a table there were number0 green apples number1 red apples and number2 yellow apples .,how many apples were on the table ?
